Function,Trace,Calls [#],Callees [#],Callees Mean [#],Total Inclusive T [ms],Total Inclusive T [%],Total Exclusive T [ms],Total Exclusive T [%],Total Morestack T [ms],Total Morestack T [%],I Mean,E Mean,I Std,E Std,I Min,E Min,I 10%,E 10%,I 25%,E 25%,I 50%,E 50%,I 75%,E 75%,I 90%,E 90%,I Max,E Max
main.getCurrentCPUID,main.main.func2 -> main.Greet -> main.add -> main.add,1,0,0.0,13.900783,0.0013419291755933501,13.900783,0.0013419291755933501,0.0,0.0,13.900783,13.900783,,,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783,13.900783
main.getCurrentCPUID,main.main.func2 -> main.Greet,5,0,0.0,12.113739,0.0011694146861815635,12.113739,0.0011694146861815635,2.492885,0.00024065371806027247,2.4227478,2.4227478,2.5241841577736954,2.5241841577736954,0.13799,0.13799,0.2496516,0.2496516,0.417144,0.417144,1.447699,1.447699,4.209739,4.209739,5.2245957999999995,5.2245957999999995,5.901167,5.901167
main.getCurrentCPUID,main.main.func1 -> main.Greet,10,0,0.0,11.182984,0.0010795631080489224,11.182984,0.0010795631080489224,40.252812,0.0038858546905216856,1.1182983999999998,1.1182983999999998,1.7059954397538502,1.7059954397538502,0.12548,0.12548,0.129728,0.129728,0.2997125,0.2997125,0.36895,0.36895,0.488051,0.488051,3.9485023999999993,3.9485023999999993,4.785362,4.785362
main.getCurrentCPUID,main.main.func1 -> main.Greet -> main.add,10,0,0.0,10.709336,0.001033838916097905,10.709336,0.001033838916097905,3.688018,0.0003560273514314579,1.0709336,1.0709336,1.0965285843533876,1.0965285843533876,0.12602,0.12602,0.280514,0.280514,0.3059995,0.3059995,0.5982645,0.5982645,1.662513,1.662513,2.2363484999999996,2.2363484999999996,3.495804,3.495804
main.add,main.main,1,2,2.0,15.439838,0.0014905037420291274,9.701009,0.0009364988295834609,0.0,0.0,15.439838,9.701009,,,15.439838,9.701009,15.439838,9.701009,15.439838,9.701009,15.439838,9.701009,15.439838,9.701009,15.439838,9.701009,15.439838,9.701009
main.getGoroutineID,main.main.func2 -> main.Greet -> main.add,4,0,0.0,7.65864,0.0007393362274172796,7.65864,0.0007393362274172796,5.652343,0.0005456558801155908,1.91466,1.91466,1.2300707071077932,1.2300707071077932,0.77366,0.77366,0.9704807000000001,0.9704807000000001,1.26571175,1.26571175,1.620371,1.620371,2.26931925,2.26931925,3.0942705000000004,3.0942705000000004,3.644238,3.644238
main.getGoroutineID,main.main -> main.add,1,0,0.0,4.0191,0.0003879887593114167,4.0191,0.0003879887593114167,0.0,0.0,4.0191,4.0191,,,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191,4.0191
main.getGoroutineID,main.main.func2 -> main.Greet -> main.add -> main.add,1,0,0.0,3.615238,0.00034900144466061745,3.615238,0.00034900144466061745,0.0,0.0,3.615238,3.615238,,,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238,3.615238
main.getCurrentCPUID,main.main.func2 -> main.Greet -> main.add,4,0,0.0,2.241905,0.00021642505522232881,2.241905,0.00021642505522232881,0.0,0.0,0.56047625,0.56047625,0.49212002072351885,0.49212002072351885,0.129731,0.129731,0.1325087,0.1325087,0.13667525,0.13667525,0.5577295,0.5577295,0.9815305,0.9815305,0.9906412,0.9906412,0.996715,0.996715
main.getCurrentCPUID,main.main -> main.add,1,0,0.0,1.719729,0.0001660161531342498,1.719729,0.0001660161531342498,2.963937,0.0002861273019599419,1.719729,1.719729,,,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729,1.719729
main.getGoroutineID,main.main,1,0,0.0,0.660689,6.378042482165176e-05,0.660689,6.378042482165176e-05,0.0,0.0,0.660689,0.660689,,,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689,0.660689
main.getCurrentCPUID,main.main,1,0,0.0,0.49981,4.824977278282182e-05,0.49981,4.824977278282182e-05,0.0,0.0,0.49981,0.49981,,,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981,0.49981
main.getThreadID,main.main,1,0,0.0,0.30959,2.988665123913849e-05,0.30959,2.988665123913849e-05,0.0,0.0,0.30959,0.30959,,,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959,0.30959
